state_po,month,mean_index,primary_date,treat_may,march_primary,aei_sample
DC,2025-08-01,0,2026-06-16,FALSE,FALSE,TRUE
DC,2025-09-01,0,2026-06-16,FALSE,FALSE,TRUE
DC,2025-10-01,0,2026-06-16,FALSE,FALSE,TRUE
DC,2025-11-01,2,2026-06-16,FALSE,FALSE,TRUE
DC,2025-12-01,2.4,2026-06-16,FALSE,FALSE,TRUE
DC,2026-01-01,0,2026-06-16,FALSE,FALSE,TRUE
DC,2026-02-01,7.75,2026-06-16,FALSE,FALSE,TRUE
DC,2026-03-01,16.25,2026-06-16,FALSE,FALSE,TRUE
DC,2026-04-01,2,2026-06-16,FALSE,FALSE,TRUE
DC,2026-05-01,26.5,2026-06-16,FALSE,FALSE,TRUE
DE,2025-07-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2025-08-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2025-09-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2025-10-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2025-11-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2025-12-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2026-01-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2026-02-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2026-03-01,2.25,2026-09-15,FALSE,FALSE,FALSE
DE,2026-04-01,0,2026-09-15,FALSE,FALSE,FALSE
DE,2026-05-01,4,2026-09-15,FALSE,FALSE,FALSE
FL,2025-07-01,0.8,2026-08-18,FALSE,FALSE,TRUE
FL,2025-08-01,0.75,2026-08-18,FALSE,FALSE,TRUE
FL,2025-09-01,0.75,2026-08-18,FALSE,FALSE,TRUE
FL,2025-10-01,1,2026-08-18,FALSE,FALSE,TRUE
FL,2025-11-01,1.75,2026-08-18,FALSE,FALSE,TRUE
FL,2025-12-01,1,2026-08-18,FALSE,FALSE,TRUE
FL,2026-01-01,1.75,2026-08-18,FALSE,FALSE,TRUE
FL,2026-02-01,2.5,2026-08-18,FALSE,FALSE,TRUE
FL,2026-03-01,4.75,2026-08-18,FALSE,FALSE,TRUE
FL,2026-04-01,2.8,2026-08-18,FALSE,FALSE,TRUE
FL,2026-05-01,6,2026-08-18,FALSE,FALSE,TRUE
GA,2025-07-01,1,2026-05-19,TRUE,FALSE,TRUE
GA,2025-08-01,0.25,2026-05-19,TRUE,FALSE,TRUE
GA,2025-09-01,0.75,2026-05-19,TRUE,FALSE,TRUE
GA,2025-10-01,1.2,2026-05-19,TRUE,FALSE,TRUE
GA,2025-11-01,1.25,2026-05-19,TRUE,FALSE,TRUE
GA,2025-12-01,1,2026-05-19,TRUE,FALSE,TRUE
GA,2026-01-01,1.75,2026-05-19,TRUE,FALSE,TRUE
GA,2026-02-01,3.25,2026-05-19,TRUE,FALSE,TRUE
GA,2026-03-01,5.25,2026-05-19,TRUE,FALSE,TRUE
GA,2026-04-01,5.4,2026-05-19,TRUE,FALSE,TRUE
GA,2026-05-01,27.5,2026-05-19,TRUE,FALSE,TRUE
HI,2025-07-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2025-08-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2025-09-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2025-10-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2025-11-01,1.5,2026-08-08,FALSE,FALSE,FALSE
HI,2025-12-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2026-01-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2026-02-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2026-03-01,1.75,2026-08-08,FALSE,FALSE,FALSE
HI,2026-04-01,0,2026-08-08,FALSE,FALSE,FALSE
HI,2026-05-01,1.5,2026-08-08,FALSE,FALSE,FALSE
IA,2025-07-01,0,2026-06-02,FALSE,FALSE,FALSE
IA,2025-08-01,0,2026-06-02,FALSE,FALSE,FALSE
IA,2025-09-01,0,2026-06-02,FALSE,FALSE,FALSE
IA,2025-10-01,0.8,2026-06-02,FALSE,FALSE,FALSE
IA,2025-11-01,0.5,2026-06-02,FALSE,FALSE,FALSE
IA,2025-12-01,0,2026-06-02,FALSE,FALSE,FALSE
IA,2026-01-01,0,2026-06-02,FALSE,FALSE,FALSE
IA,2026-02-01,0,2026-06-02,FALSE,FALSE,FALSE
IA,2026-03-01,2.25,2026-06-02,FALSE,FALSE,FALSE
IA,2026-04-01,2.2,2026-06-02,FALSE,FALSE,FALSE
IA,2026-05-01,9.75,2026-06-02,FALSE,FALSE,FALSE
ID,2025-07-01,0,2026-05-19,TRUE,FALSE,TRUE
ID,2025-08-01,0,2026-05-19,TRUE,FALSE,TRUE
ID,2025-09-01,0,2026-05-19,TRUE,FALSE,TRUE
ID,2025-10-01,0,2026-05-19,TRUE,FALSE,TRUE
ID,2025-11-01,1.5,2026-05-19,TRUE,FALSE,TRUE
ID,2025-12-01,0,2026-05-19,TRUE,FALSE,TRUE
ID,2026-01-01,0,2026-05-19,TRUE,FALSE,TRUE
ID,2026-02-01,1,2026-05-19,TRUE,FALSE,TRUE
ID,2026-03-01,2.5,2026-05-19,TRUE,FALSE,TRUE
ID,2026-04-01,4.8,2026-05-19,TRUE,FALSE,TRUE
ID,2026-05-01,26.5,2026-05-19,TRUE,FALSE,TRUE
IL,2025-07-01,0.8,2026-03-17,FALSE,TRUE,FALSE
IL,2025-08-01,0.5,2026-03-17,FALSE,TRUE,FALSE
IL,2025-09-01,0.75,2026-03-17,FALSE,TRUE,FALSE
IL,2025-10-01,1.4,2026-03-17,FALSE,TRUE,FALSE
IL,2025-11-01,1.5,2026-03-17,FALSE,TRUE,FALSE
IL,2025-12-01,0.6,2026-03-17,FALSE,TRUE,FALSE
IL,2026-01-01,2,2026-03-17,FALSE,TRUE,FALSE
IL,2026-02-01,6.25,2026-03-17,FALSE,TRUE,FALSE
IL,2026-03-01,23.5,2026-03-17,FALSE,TRUE,FALSE
IL,2026-04-01,2.2,2026-03-17,FALSE,TRUE,FALSE
IL,2026-05-01,4.75,2026-03-17,FALSE,TRUE,FALSE
IN,2025-07-01,0,2026-05-05,TRUE,FALSE,TRUE
IN,2025-08-01,0.5,2026-05-05,TRUE,FALSE,TRUE
IN,2025-09-01,0,2026-05-05,TRUE,FALSE,TRUE
IN,2025-10-01,1,2026-05-05,TRUE,FALSE,TRUE
IN,2025-11-01,0.75,2026-05-05,TRUE,FALSE,TRUE
IN,2025-12-01,0.4,2026-05-05,TRUE,FALSE,TRUE
IN,2026-01-01,1.25,2026-05-05,TRUE,FALSE,TRUE
IN,2026-02-01,3,2026-05-05,TRUE,FALSE,TRUE
IN,2026-03-01,5.75,2026-05-05,TRUE,FALSE,TRUE
IN,2026-04-01,9,2026-05-05,TRUE,FALSE,TRUE
IN,2026-05-01,29.5,2026-05-05,TRUE,FALSE,TRUE
KS,2025-07-01,0.6,2026-08-04,FALSE,FALSE,TRUE
KS,2025-08-01,2.25,2026-08-04,FALSE,FALSE,TRUE
KS,2025-09-01,0,2026-08-04,FALSE,FALSE,TRUE
KS,2025-10-01,0,2026-08-04,FALSE,FALSE,TRUE
KS,2025-11-01,1,2026-08-04,FALSE,FALSE,TRUE
KS,2025-12-01,0.4,2026-08-04,FALSE,FALSE,TRUE
KS,2026-01-01,0,2026-08-04,FALSE,FALSE,TRUE
KS,2026-02-01,1.5,2026-08-04,FALSE,FALSE,TRUE
KS,2026-03-01,5.75,2026-08-04,FALSE,FALSE,TRUE
KS,2026-04-01,1.4,2026-08-04,FALSE,FALSE,TRUE
KS,2026-05-01,6.5,2026-08-04,FALSE,FALSE,TRUE
KY,2025-07-01,0,2026-05-19,TRUE,FALSE,FALSE
KY,2025-08-01,0,2026-05-19,TRUE,FALSE,FALSE
KY,2025-09-01,0,2026-05-19,TRUE,FALSE,FALSE
KY,2025-10-01,0.8,2026-05-19,TRUE,FALSE,FALSE
KY,2025-11-01,2,2026-05-19,TRUE,FALSE,FALSE
KY,2025-12-01,0,2026-05-19,TRUE,FALSE,FALSE
KY,2026-01-01,1.75,2026-05-19,TRUE,FALSE,FALSE
KY,2026-02-01,2.75,2026-05-19,TRUE,FALSE,FALSE
KY,2026-03-01,5,2026-05-19,TRUE,FALSE,FALSE
KY,2026-04-01,5.6,2026-05-19,TRUE,FALSE,FALSE
KY,2026-05-01,39,2026-05-19,TRUE,FALSE,FALSE
LA,2025-07-01,0,2026-05-16,TRUE,FALSE,TRUE
LA,2025-08-01,0,2026-05-16,TRUE,FALSE,TRUE
LA,2025-09-01,0,2026-05-16,TRUE,FALSE,TRUE
LA,2025-10-01,0.6,2026-05-16,TRUE,FALSE,TRUE
LA,2025-11-01,0,2026-05-16,TRUE,FALSE,TRUE
LA,2025-12-01,0,2026-05-16,TRUE,FALSE,TRUE
LA,2026-01-01,0.75,2026-05-16,TRUE,FALSE,TRUE
LA,2026-02-01,1,2026-05-16,TRUE,FALSE,TRUE
LA,2026-03-01,3.5,2026-05-16,TRUE,FALSE,TRUE
LA,2026-04-01,2.6,2026-05-16,TRUE,FALSE,TRUE
LA,2026-05-01,5.75,2026-05-16,TRUE,FALSE,TRUE
MA,2025-07-01,0.6,2026-09-01,FALSE,FALSE,TRUE
MA,2025-08-01,0.5,2026-09-01,FALSE,FALSE,TRUE
MA,2025-09-01,3,2026-09-01,FALSE,FALSE,TRUE
MA,2025-10-01,0.2,2026-09-01,FALSE,FALSE,TRUE
MA,2025-11-01,0.5,2026-09-01,FALSE,FALSE,TRUE
MA,2025-12-01,0,2026-09-01,FALSE,FALSE,TRUE
MA,2026-01-01,1.5,2026-09-01,FALSE,FALSE,TRUE
MA,2026-02-01,2,2026-09-01,FALSE,FALSE,TRUE
MA,2026-03-01,4,2026-09-01,FALSE,FALSE,TRUE
MA,2026-04-01,1.6,2026-09-01,FALSE,FALSE,TRUE
MA,2026-05-01,3.25,2026-09-01,FALSE,FALSE,TRUE
MD,2025-07-01,0.2,2026-06-23,FALSE,FALSE,TRUE
MD,2025-08-01,0,2026-06-23,FALSE,FALSE,TRUE
MD,2025-09-01,1,2026-06-23,FALSE,FALSE,TRUE
MD,2025-10-01,0.8,2026-06-23,FALSE,FALSE,TRUE
MD,2025-11-01,2.5,2026-06-23,FALSE,FALSE,TRUE
MD,2025-12-01,1,2026-06-23,FALSE,FALSE,TRUE
MD,2026-01-01,2.25,2026-06-23,FALSE,FALSE,TRUE
MD,2026-02-01,3.5,2026-06-23,FALSE,FALSE,TRUE
MD,2026-03-01,6.75,2026-06-23,FALSE,FALSE,TRUE
MD,2026-04-01,4,2026-06-23,FALSE,FALSE,TRUE
MD,2026-05-01,10.75,2026-06-23,FALSE,FALSE,TRUE
ME,2025-07-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2025-08-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2025-09-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2025-10-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2025-11-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2025-12-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2026-01-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2026-02-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2026-03-01,1.75,2026-06-09,FALSE,FALSE,FALSE
ME,2026-04-01,0,2026-06-09,FALSE,FALSE,FALSE
ME,2026-05-01,5.75,2026-06-09,FALSE,FALSE,FALSE
MI,2025-07-01,1,2026-08-04,FALSE,FALSE,TRUE
MI,2025-08-01,3.5,2026-08-04,FALSE,FALSE,TRUE
MI,2025-09-01,0,2026-08-04,FALSE,FALSE,TRUE
MI,2025-10-01,0.8,2026-08-04,FALSE,FALSE,TRUE
MI,2025-11-01,1.25,2026-08-04,FALSE,FALSE,TRUE
MI,2025-12-01,0.4,2026-08-04,FALSE,FALSE,TRUE
MI,2026-01-01,1.75,2026-08-04,FALSE,FALSE,TRUE
MI,2026-02-01,2,2026-08-04,FALSE,FALSE,TRUE
MI,2026-03-01,3.75,2026-08-04,FALSE,FALSE,TRUE
MI,2026-04-01,2.6,2026-08-04,FALSE,FALSE,TRUE
MI,2026-05-01,5.75,2026-08-04,FALSE,FALSE,TRUE
MN,2025-07-01,0.2,2026-08-11,FALSE,FALSE,TRUE
MN,2025-08-01,1.25,2026-08-11,FALSE,FALSE,TRUE
MN,2025-09-01,0.5,2026-08-11,FALSE,FALSE,TRUE
MN,2025-10-01,0,2026-08-11,FALSE,FALSE,TRUE
MN,2025-11-01,0.75,2026-08-11,FALSE,FALSE,TRUE
MN,2025-12-01,0.8,2026-08-11,FALSE,FALSE,TRUE
MN,2026-01-01,2.5,2026-08-11,FALSE,FALSE,TRUE
MN,2026-02-01,2.25,2026-08-11,FALSE,FALSE,TRUE
MN,2026-03-01,4.75,2026-08-11,FALSE,FALSE,TRUE
MN,2026-04-01,1.2,2026-08-11,FALSE,FALSE,TRUE
MN,2026-05-01,5,2026-08-11,FALSE,FALSE,TRUE
MO,2025-07-01,0,2026-08-04,FALSE,FALSE,TRUE
MO,2025-08-01,0,2026-08-04,FALSE,FALSE,TRUE
MO,2025-09-01,0,2026-08-04,FALSE,FALSE,TRUE
MO,2025-10-01,0,2026-08-04,FALSE,FALSE,TRUE
MO,2025-11-01,0.5,2026-08-04,FALSE,FALSE,TRUE
MO,2025-12-01,0,2026-08-04,FALSE,FALSE,TRUE
MO,2026-01-01,1.5,2026-08-04,FALSE,FALSE,TRUE
MO,2026-02-01,2.25,2026-08-04,FALSE,FALSE,TRUE
MO,2026-03-01,3.75,2026-08-04,FALSE,FALSE,TRUE
MO,2026-04-01,2,2026-08-04,FALSE,FALSE,TRUE
MO,2026-05-01,3.75,2026-08-04,FALSE,FALSE,TRUE
MS,2025-07-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2025-08-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2025-09-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2025-10-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2025-11-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2025-12-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2026-01-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2026-02-01,1,2026-03-10,FALSE,TRUE,FALSE
MS,2026-03-01,12.75,2026-03-10,FALSE,TRUE,FALSE
MS,2026-04-01,0,2026-03-10,FALSE,TRUE,FALSE
MS,2026-05-01,3.25,2026-03-10,FALSE,TRUE,FALSE
MT,2025-07-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2025-08-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2025-09-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2025-10-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2025-11-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2025-12-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2026-01-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2026-02-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2026-03-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2026-04-01,0,2026-06-02,FALSE,FALSE,FALSE
MT,2026-05-01,13.25,2026-06-02,FALSE,FALSE,FALSE
NC,2025-07-01,0.6,2026-03-03,FALSE,TRUE,FALSE
NC,2025-08-01,0.5,2026-03-03,FALSE,TRUE,FALSE
NC,2025-09-01,1.5,2026-03-03,FALSE,TRUE,FALSE
NC,2025-10-01,1.4,2026-03-03,FALSE,TRUE,FALSE
NC,2025-11-01,2,2026-03-03,FALSE,TRUE,FALSE
NC,2025-12-01,0.8,2026-03-03,FALSE,TRUE,FALSE
NC,2026-01-01,2.25,2026-03-03,FALSE,TRUE,FALSE
NC,2026-02-01,8.5,2026-03-03,FALSE,TRUE,FALSE
NC,2026-03-01,15.75,2026-03-03,FALSE,TRUE,FALSE
NC,2026-04-01,1.8,2026-03-03,FALSE,TRUE,FALSE
NC,2026-05-01,4.25,2026-03-03,FALSE,TRUE,FALSE
ND,2025-07-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2025-08-01,3.75,2026-06-09,FALSE,FALSE,FALSE
ND,2025-09-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2025-10-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2025-11-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2025-12-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2026-01-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2026-02-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2026-03-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2026-04-01,0,2026-06-09,FALSE,FALSE,FALSE
ND,2026-05-01,5.25,2026-06-09,FALSE,FALSE,FALSE
NE,2025-07-01,0,2026-05-12,TRUE,FALSE,FALSE
NE,2025-08-01,0,2026-05-12,TRUE,FALSE,FALSE
NE,2025-09-01,0.75,2026-05-12,TRUE,FALSE,FALSE
NE,2025-10-01,0,2026-05-12,TRUE,FALSE,FALSE
